3,0,1,1,1,0,0,1,1,2,2,3,2,2,1,1,2,1,1,1,1,0,2,0,2,2,1,1,0,2,1,2,0,1,0,0,0,2,3,0,1,2,2,4,1,1,1,0,0,2,2,1,1,1,0,1,2,1,1,1,2,2,3,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,2,0,0,1,1,1,0,2,1,2,0,0,0,0,2,1,1,1,1,1,1,1.0202,2,0,0m6.9034s
1,0,1,0,0,0,0,0,0,1,0,2,2,0,0,3,0,1,0,0,1,1,1,0,1,1,0,0,2,0,1,2,0,0,3,0,1,0,2,1,1,0,0,0,2,1,0,1,0,0,0,2,1,3,0,0,1,2,3,4,0,1,3,0,0,1,1,1,0,0,0,0,1,3,1,1,2,1,0,1,0,1,1,0,1,1,1,1,2,1,1,1,2,0,0,1,1,0,0,0.8182,2,0,0m7.4849s
3,0,2,1,1,0,0,0,1,0,1,2,2,1,2,1,0,0,0,2,1,1,2,0,1,2,0,1,2,0,1,0,1,2,1,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,3,0,1,0,0,0,1,1,0,1,0,2,2,1,0,1,1,1,1,1,1,1,2,0,0,1,1,0,2,0,1,0,2,1,1,0,0,4,1,0,0,0,0,1,1,1,0.798,2,0,0m6.8911s
1,1,0,0,2,0,0,1,0,0,1,2,0,1,0,1,0,2,0,0,0,2,0,0,2,2,0,1,2,1,1,1,0,1,0,0,0,4,0,0,2,0,0,1,1,1,1,0,1,0,0,2,0,0,1,1,1,2,0,0,2,0,0,0,0,1,1,0,1,1,0,0,1,1,2,1,1,1,1,0,1,0,1,0,0,0,1,2,1,0,0,3,1,0,0,1,2,0,2,0.7273,3,0,0m6.9849s
1,1,2,0,1,0,0,1,0,0,2,1,0,2,1,2,0,0,1,0,1,1,1,1,1,1,0,0,1,5,1,0,0,1,0,1,0,0,0,0,2,1,1,0,0,1,1,2,2,2,0,1,0,1,0,1,1,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,1,3,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,2,0,0,0.6869,4,0,0m7.0579s
0,1,1,0,2,0,1,0,1,0,1,1,1,3,1,3,0,0,1,2,0,1,1,1,3,3,1,0,1,0,2,1,0,3,2,0,0,0,1,0,2,1,1,1,0,0,1,1,1,1,1,0,0,2,2,0,1,0,2,0,1,2,0,1,3,0,2,1,0,0,1,0,2,1,0,1,1,1,1,2,2,2,0,1,1,0,0,0,1,0,0,2,3,2,2,0,0,0,3,0.9596,1,0,0m7.1388s
1,1,0,1,0,1,0,0,1,0,2,1,2,1,0,1,1,1,1,1,1,0,2,0,0,4,1,0,1,2,0,3,0,1,0,4,0,0,3,2,1,1,1,1,0,1,2,1,2,1,0,1,1,2,0,4,0,1,0,2,0,0,2,0,0,2,0,2,1,1,2,1,0,0,1,1,0,0,1,1,0,0,2,0,1,1,0,2,0,0,2,1,0,3,0,2,3,1,0,0.9596,3,0,0m6.994s
2,1,0,1,1,0,3,1,3,0,2,2,2,1,1,0,0,0,1,2,1,0,3,1,1,0,0,0,2,0,0,2,0,0,0,1,1,1,1,1,0,1,1,1,0,2,1,4,2,0,0,2,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,2,1,0,0,0,2,0,1,0,1,1,3,0,2,1,2,1,2,0,1,2,0,0,1,0.8485,3,0,0m6.9814s
0,1,2,1,2,1,1,0,1,0,0,0,0,0,1,0,0,1,0,2,0,2,2,1,0,0,1,2,2,3,2,2,0,1,0,0,1,0,1,0,0,1,0,0,2,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3,0,1,2,0,1,0,0,1,1,2,2,0,0,1,1,0,0,2,4,0,0,3,0,2,0,2,1,0,0,1,1,0.798,1,0,0m7.0994s
0,0,0,1,1,0,0,1,1,1,0,0,0,2,2,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,2,0,0,0,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,2,1,2,0,1,1,0,0,1,3,1,0,1,3,1,3,1,1,2,4,0,3,3,2,1,1,1,0,0,0,1,3,2,0,3,1,4,0,0,0,0,2,0.899,1,0,0m7.7402s
2,0,1,1,2,1,0,1,0,0,1,0,2,0,1,0,2,1,1,1,1,1,1,1,1,0,0,0,2,3,0,1,1,1,0,0,1,0,3,0,2,0,1,0,2,4,0,1,2,0,0,0,1,3,2,1,0,0,0,0,1,1,3,1,0,1,1,1,1,1,3,1,3,0,2,1,0,2,0,1,0,3,0,1,2,0,2,1,1,0,0,1,1,1,0,0,0,0,0,0.9091,2,0,0m7.7908s
0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,1,1,1,2,1,2,0,1,0,1,2,0,2,2,0,0,3,0,1,0,2,0,0,1,3,0,2,0,2,0,0,0,0,1,0,2,0,0,0,0,0,1,2,1,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,2,1,0,2,2,0,2,1,1,1,0,1,0,1,0,2,0.7071,1,0,0m8.9321s
0,3,1,0,1,1,0,1,0,2,0,0,0,3,1,1,3,0,1,0,0,2,0,0,1,0,1,1,1,0,1,0,1,1,2,0,0,1,1,0,3,0,0,2,1,0,0,0,0,1,1,3,0,0,1,0,0,1,2,1,0,0,2,1,2,0,1,0,0,0,1,1,0,3,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,2,0,0,2,1,2,0,0,0.7273,1,0,0m7.0052s
2,0,2,1,1,0,3,0,1,0,0,0,2,0,0,0,1,0,0,3,1,0,5,0,2,2,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3,1,1,3,0,2,0,0,2,1,1,0,0,1,0,0,1,3,0,0,0,1,0,1,1,0,1,0,2,1,0,0,0,0,1,2,0,1,1,0,1,1,1,0.7273,2,0,0m7.2444s
2,1,0,0,1,0,2,0,2,2,0,0,1,1,1,1,0,0,0,4,0,1,0,2,0,2,1,1,0,1,1,3,1,0,0,0,0,1,0,0,0,1,0,2,0,1,1,2,0,0,1,2,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,2,2,2,1,0,1,0,2,0,0,0,0,2,2,0,1,1,2,1,2,0,1,1,0,0,1,2,0,0,0,0.7576,3,0,0m8.0256s
1,0,0,0,0,0,0,1,2,0,0,0,1,2,0,0,1,1,1,1,0,2,2,0,1,2,0,4,0,0,0,2,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,1,3,2,0,0,0,0,0,0,1,1,2,1,0,0,1,1,3,2,3,1,0,1,0,0,1,1,0,1,0,0,0,0,0,2,0,0,1,1,1,2,3,1,0,0,0.7273,2,0,0m6.6751s
2,0,1,0,2,1,1,3,0,2,0,0,2,0,0,3,1,0,1,1,0,1,0,0,1,1,0,0,1,3,1,1,0,1,0,0,1,0,2,1,1,0,0,1,0,0,0,0,1,1,2,0,1,1,0,1,1,2,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,2,0,2,0,1,1,0,0,0,1,1,0,0.6667,2,0,0m7.1547s
1,2,0,1,0,1,0,0,0,1,2,0,0,0,0,0,1,1,2,2,2,0,0,1,0,1,0,0,2,1,1,1,0,0,1,2,1,2,2,1,1,0,2,2,1,1,2,2,0,0,2,0,0,0,3,2,0,1,1,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,1,0,0,1,0,0,1,2,1,1,0,0,0,0,0,1,1,2,2,0,2,1,1,0,1,0.7677,3,0,0m6.9471s
